<MOH id = 0 >	8 Tsi Thotiriwaié:ri Ne Corinthians 
<MOH id = 1 >	
<MOH id = 2 >	
<MOH id = 3 >	Tewatenro'shòn:'a, teionkwatonhontsó:ni naiesewaterièn:tara'ne' tsi nikanà:non ne Rawenni:io raotén:ra't ne raotitióhkwakon ne thonehtáhkwen ne Macedonia nón:we. Eh tho sà:ne wentorátie' tsi ní:ioht tsi ronatenhniseraténion, ò:ni' kwah í:ken tsi rotí:ten, nok ki' kwah ronatonhnháhere' tsi niiawe'towá:nen thatiiéhstha'. Kwah ísi' nón: nithatiiehstháhkwe' tsi nihotikwénion, né: tsi kwah eh nithonská:nekskwe'. Kwah ò:ni' wa'onkhiri'wanón:tonhse', ò:ni' wa'onkhi'né:ken' ne aiakhiríhon', tsi kwah raonatshennonniahtsherá:kon tsi ahshakotihwíston' ne Rawenní:io raotióhkwa'. Kwah iah thé:nen teionkwahrhá:rehkwe' ne ísi' nón: tsi nahatí:iere'. Tahontié:renhte' wahonwahrharátsten' ne Roiá:ner tánon' tho nì:'i saionkhihrharátsten' tsi eh tho nenhatí:iere' tsi niho'nikonhrò:ten' ne Rawenní:io. Titus eh tho ní:ioht tsi tehtshisewatahsawén:ni ne eh naiesewaiéhrhake' tsi aontesewahtka'wáhseke' ne kaienawa'séhtshera', raónha káti' wahshakwa'né:ken' ne 
<MOH id = 4 >	
<MOH id = 5 >	
<MOH id = 6 >	****** Result for Image/Page 21 ******
<MOH id = 7 >	21 
<MOH id = 8 >	2 CORINTHIANS 8 
<MOH id = 9 >	ahtshisewaié:nawa'se' ne aiesewáhsa' tsi nahò:ten' tisewatáhsawe'. Tsi nisewakwátshe' tsi naho'tèn:shon's sewá:ien, nè:'e ne tewehtáhkwen, sewaronkhahtsherií:io, ò:ni' attokháhtshera', tsi na'tesewahsteríhens naiesewatahsnié:nen', ò:ni' tsi nihskwanorónhkhwa'. Tánon' káti' ò:ni' teionkwatonhontsó:ni naontisewari'waié:rike' tsi nonkwá:ti kí:ken kaio'ténhsera' ne kanoronhkhwáhtshera'. Iah tekwato'ktahkwén:ni ne tho naiesewá:iere', kwah nek tsi kwate'niéntha' tó: niiorihwató:ken ne sewanoronhkhwáhtshera' ne tákeren' notia'kè:shon tsi nihotiié:ren. Akwé:kon sewaterièn:tare' ne Shonkwaiá:ner Ié:sos Kerístos tsi ia'tekaié:ri tsi nithorihwaié:ri tánon' tsi nihshonkwanorónhkhwa', akwé:kon rohtsakwaríhsion ne raohtshokowáhtshera' ò:ni' wahoténhta'ne', eh naontá:we' ní:se' aiesewakwátshe'ne'. Tiohserá:tehkwe' í:se' tisewatierénhton ne aietshiia'takéhnha', ò:ni' wa'etshí:ion' né: tsi eh tho nisewa'nikonhrò:ten'ne'. Ó:nen ki' takwatahónhsatat tsi nenkwaten'nikòn:ron'. Ne nì:'i akì:ron' ia'sewáhsa tsi nahò:ten' tisewatáhsawe'. Tóka' ne entioianénhawe' tsi naho'tèn:shon sewá:ien, ensewarihwahní:rate' á:re tsi kwah tesewahsteríhens ne aontesewá:iehste', tsi nisewanonhtónnionskwe' ne aietshí:ion'. Iah tewatsterístha' tó: naiesakwatshéhake'. Ne tewanónhtons tó: ní:kon enhshé:ion' tsi nisá:ien. Iah ne té:kehre' tóka' ken akheiate'shenniióhsten' ne akohrèn:shon nok ní:se' akwate'niakátsthahse'. Nok sha'té:ioht ki'. Sha'taiesewatatia'khón:hahse' tsi niiawe'towá:nen ní:se' sá:ien nok ne ronónha ken'k ne ní:kon rotí:ien, ísi' nonwéha, nó:nen ísi' nón: enshotiién:take' nok ní:se' tehsatkárias, eh thó:ne 
<MOH id = 10 >	
